时间,摄像头编号,追踪ID,类别名称,置信度,坐标X,坐标Y,框宽W,框高H,帧率,目标总数
2026-08-14 15:21:08,0,1,person,0.949,0,29,640,451,0.1,1
2026-08-14 15:21:08,0,1,person,0.950,0,30,640,450,6.2,1
2026-08-14 15:21:08,0,1,person,0.943,0,29,639,451,8.8,1
2026-08-14 15:21:08,0,1,person,0.940,0,30,639,450,10.0,1
2026-08-14 15:21:08,0,1,person,0.927,0,30,633,450,10.8,1
2026-08-14 15:21:08,0,1,person,0.932,0,30,638,450,11.3,1
2026-08-14 15:21:09,0,1,person,0.951,0,30,640,450,11.6,1
2026-08-14 15:21:09,0,1,person,0.934,0,30,638,450,12.0,1
2026-08-14 15:21:09,0,1,person,0.929,3,30,631,450,12.3,1
2026-08-14 15:21:09,0,1,person,0.922,1,29,633,451,12.5,1
2026-08-14 15:21:09,0,1,person,0.950,0,27,640,453,12.7,1
2026-08-14 15:21:09,0,1,person,0.931,0,23,640,457,12.7,1
2026-08-14 15:21:09,0,1,person,0.898,2,22,633,458,12.8,1
2026-08-14 15:21:09,0,1,person,0.868,0,16,635,464,12.9,1
2026-08-14 15:21:09,0,1,person,0.856,0,15,640,465,13.0,1
2026-08-14 15:21:09,0,1,person,0.931,6,14,634,466,13.0,1
2026-08-14 15:21:09,0,1,person,0.821,41,17,582,463,13.1,1
2026-08-14 15:21:09,0,1,person,0.840,64,22,557,458,13.1,1
2026-08-14 15:21:09,0,1,person,0.836,61,26,551,454,13.2,1
2026-08-14 15:21:09,0,1,person,0.853,59,27,566,453,13.2,1
2026-08-14 15:21:09,0,1,person,0.878,67,29,569,450,13.3,1
2026-08-14 15:21:10,0,1,person,0.910,69,28,570,452,13.3,1
2026-08-14 15:21:10,0,1,person,0.896,80,29,560,450,13.4,1
2026-08-14 15:21:10,0,1,person,0.774,81,31,528,449,13.4,1
2026-08-14 15:21:10,0,1,person,0.933,55,32,585,447,13.4,1
2026-08-14 15:21:10,0,1,person,0.922,91,32,549,447,13.4,1
2026-08-14 15:21:10,0,1,person,0.900,101,32,539,448,13.4,1
2026-08-14 15:21:10,0,1,person,0.903,58,30,582,449,13.4,1
2026-08-14 15:21:10,0,1,person,0.903,58,30,582,449,13.4,0
2026-08-14 15:21:10,0,1,person,0.928,0,29,640,451,13.4,1
2026-08-14 15:21:10,0,1,person,0.936,9,31,631,449,13.9,1
2026-08-14 15:21:10,0,1,person,0.915,29,35,611,445,13.9,1
2026-08-14 15:21:10,0,1,person,0.907,46,39,591,441,13.9,1
2026-08-14 15:21:10,0,1,person,0.860,61,38,567,442,13.9,1
2026-08-14 15:21:11,0,1,person,0.895,62,39,571,441,14.0,1
2026-08-14 15:21:11,0,1,person,0.839,52,38,567,442,14.0,1
2026-08-14 15:21:11,0,1,person,0.843,55,36,559,444,14.0,1
2026-08-14 15:21:11,0,1,person,0.840,66,35,570,445,14.0,1
2026-08-14 15:21:11,0,1,person,0.805,74,28,441,452,13.9,1
2026-08-14 15:21:11,0,1,person,0.798,4,22,609,457,14.0,1
2026-08-14 15:21:11,0,1,person,0.909,94,18,546,462,13.9,1
2026-08-14 15:21:11,0,1,person,0.939,106,17,534,463,14.0,1
2026-08-14 15:21:11,0,1,person,0.932,86,15,554,465,14.0,1
2026-08-14 15:21:11,0,1,person,0.919,61,14,579,466,14.0,1
2026-08-14 15:21:11,0,1,person,0.910,19,13,621,467,13.9,1
2026-08-14 15:21:11,0,1,person,0.927,5,11,635,469,13.9,1
2026-08-14 15:21:11,0,1,person,0.943,0,9,640,471,13.9,1
2026-08-14 15:21:11,0,1,person,0.944,0,8,640,472,13.9,1
2026-08-14 15:21:12,0,1,person,0.931,0,6,640,474,13.9,1
2026-08-14 15:21:12,0,1,person,0.949,0,8,640,472,13.9,1
2026-08-14 15:21:12,0,1,person,0.952,0,10,640,470,13.9,1
2026-08-14 15:21:12,0,1,person,0.945,0,10,640,470,13.8,1
2026-08-14 15:21:12,0,1,person,0.943,0,9,640,471,13.8,1
2026-08-14 15:21:12,0,1,person,0.940,0,8,640,472,13.8,1
2026-08-14 15:21:12,0,1,person,0.944,0,10,640,470,13.8,1
2026-08-14 15:21:12,0,1,person,0.934,0,11,640,469,13.8,1
2026-08-14 15:21:12,0,1,person,0.944,0,11,640,469,13.8,1
2026-08-14 15:21:12,0,1,person,0.938,0,11,640,469,13.8,1
2026-08-14 15:21:12,0,1,person,0.936,0,11,640,469,13.9,1
2026-08-14 15:21:12,0,1,person,0.940,0,11,640,469,13.8,1
2026-08-14 15:21:12,0,1,person,0.939,0,13,640,467,13.8,1
2026-08-14 15:21:12,0,1,person,0.946,0,12,640,468,13.8,1
2026-08-14 15:21:13,0,1,person,0.949,0,12,639,468,13.8,1
2026-08-14 15:21:13,0,1,person,0.932,0,14,640,466,13.8,1
2026-08-14 15:21:13,0,1,person,0.948,0,13,639,467,13.7,1
2026-08-14 15:21:13,0,1,person,0.951,0,14,638,466,13.7,2
2026-08-14 15:21:13,0,2,cell phone,0.841,136,89,261,193,13.7,2
2026-08-14 15:21:13,0,1,person,0.944,0,14,639,466,13.7,2
2026-08-14 15:21:13,0,2,cell phone,0.649,178,93,222,211,13.7,2
2026-08-14 15:21:13,0,1,person,0.946,0,14,639,466,13.7,2
2026-08-14 15:21:13,0,2,cell phone,0.622,153,109,252,211,13.7,2
2026-08-14 15:21:13,0,1,person,0.944,0,11,639,469,13.7,2
2026-08-14 15:21:13,0,2,cell phone,0.559,150,130,257,197,13.7,2
2026-08-14 15:21:13,0,1,person,0.937,0,10,638,470,13.6,2
2026-08-14 15:21:13,0,2,cell phone,0.605,145,133,267,193,13.6,2
2026-08-14 15:21:13,0,1,person,0.941,0,12,640,468,13.6,1
2026-08-14 15:21:13,0,2,cell phone,0.605,145,133,267,193,13.6,1
2026-08-14 15:21:13,0,1,person,0.943,0,13,639,467,13.6,1
2026-08-14 15:21:13,0,2,cell phone,0.605,145,133,267,193,13.6,1
2026-08-14 15:21:13,0,1,person,0.931,0,13,638,467,13.6,2
2026-08-14 15:21:13,0,2,cell phone,0.641,109,113,250,191,13.6,2
2026-08-14 15:21:13,0,1,person,0.921,0,15,639,465,13.6,2
2026-08-14 15:21:13,0,2,cell phone,0.506,110,113,246,191,13.6,2
2026-08-14 15:21:13,0,1,person,0.927,0,16,640,464,13.5,1
2026-08-14 15:21:13,0,2,cell phone,0.506,110,113,246,191,13.5,1
2026-08-14 15:21:14,0,1,person,0.934,0,14,638,466,13.5,1
2026-08-14 15:21:14,0,2,cell phone,0.506,110,113,246,191,13.5,1
2026-08-14 15:21:14,0,1,person,0.935,0,14,638,466,13.4,1
2026-08-14 15:21:14,0,2,cell phone,0.506,110,113,246,191,13.4,1
2026-08-14 15:21:14,0,1,person,0.935,0,15,638,465,13.5,1
2026-08-14 15:21:14,0,2,cell phone,0.506,110,113,246,191,13.5,1
2026-08-14 15:21:14,0,1,person,0.942,0,14,637,466,13.5,1
2026-08-14 15:21:14,0,2,cell phone,0.506,110,113,246,191,13.5,1
2026-08-14 15:21:14,0,1,person,0.942,0,14,637,466,13.4,1
2026-08-14 15:21:14,0,2,cell phone,0.506,110,113,246,191,13.4,1
2026-08-14 15:21:14,0,1,person,0.943,0,15,638,465,13.3,2
2026-08-14 15:21:14,0,2,cell phone,0.646,138,105,208,189,13.3,2
2026-08-14 15:21:14,0,1,person,0.942,0,15,638,465,13.2,2
2026-08-14 15:21:14,0,2,cell phone,0.537,136,104,209,189,13.2,2
2026-08-14 15:21:14,0,1,person,0.938,0,16,638,464,13.1,2
2026-08-14 15:21:14,0,2,cell phone,0.595,135,101,209,191,13.1,2
2026-08-14 15:21:14,0,1,person,0.937,0,16,639,464,13.0,2
2026-08-14 15:21:14,0,2,cell phone,0.692,132,94,209,189,13.0,2
2026-08-14 15:21:14,0,1,person,0.934,0,16,638,464,12.9,2
2026-08-14 15:21:14,0,2,cell phone,0.795,122,92,217,189,12.9,2
2026-08-14 15:21:14,0,1,person,0.932,0,16,638,464,12.9,2
2026-08-14 15:21:14,0,2,cell phone,0.679,121,87,214,192,12.9,2
2026-08-14 15:21:14,0,1,person,0.947,0,17,635,463,12.8,1
2026-08-14 15:21:14,0,2,cell phone,0.679,121,87,214,192,12.8,1
2026-08-14 15:21:15,0,1,person,0.952,0,16,638,464,12.7,1
2026-08-14 15:21:15,0,2,cell phone,0.679,121,87,214,192,12.7,1
2026-08-14 15:21:15,0,1,person,0.932,1,15,637,465,12.7,1
2026-08-14 15:21:15,0,2,cell phone,0.679,121,87,214,192,12.7,1
2026-08-14 15:21:15,0,1,person,0.954,0,17,637,463,12.6,1
2026-08-14 15:21:15,0,2,cell phone,0.679,121,87,214,192,12.6,1
2026-08-14 15:21:15,0,1,person,0.954,0,18,639,462,12.5,2
2026-08-14 15:21:15,0,2,cell phone,0.699,87,84,242,188,12.5,2
2026-08-14 15:21:15,0,1,person,0.946,0,15,638,465,12.4,2
2026-08-14 15:21:15,0,2,cell phone,0.738,127,88,204,188,12.4,2
2026-08-14 15:21:15,0,1,person,0.946,0,17,638,463,12.3,2
2026-08-14 15:21:15,0,2,cell phone,0.780,130,91,204,189,12.3,2
2026-08-14 15:21:15,0,1,person,0.937,0,16,637,464,12.3,1
2026-08-14 15:21:15,0,2,cell phone,0.780,130,91,204,189,12.3,1
2026-08-14 15:21:15,0,1,person,0.943,0,17,638,463,12.3,1
2026-08-14 15:21:15,0,2,cell phone,0.780,130,91,204,189,12.3,1
2026-08-14 15:21:15,0,1,person,0.941,0,16,639,464,12.3,2
2026-08-14 15:21:15,0,2,cell phone,0.714,129,93,205,187,12.3,2
2026-08-14 15:21:15,0,1,person,0.940,0,16,638,464,12.3,1
2026-08-14 15:21:15,0,2,cell phone,0.714,129,93,205,187,12.3,1
2026-08-14 15:21:15,0,1,person,0.944,0,16,638,464,12.3,1
2026-08-14 15:21:15,0,2,cell phone,0.714,129,93,205,187,12.3,1
2026-08-14 15:21:15,0,1,person,0.939,0,16,638,464,12.3,2
2026-08-14 15:21:15,0,2,cell phone,0.608,130,93,204,186,12.3,2
2026-08-14 15:21:16,0,1,person,0.944,0,17,638,463,12.4,2
